year,month,day,hour,latitude,longitude,imma_version,attm_count,time_indicator,latlong_indicator,ship_course,ship_speed,national_source_indicator,id_indicator,callsign,country_code,wind_direction_indicator,wind_direction_true,wind_speed_indicator,wind_speed,visibility_indicator,visibility,present_weather,past_weather,sea_level_pressure,characteristic_of_ppp,amt_pressure_tend,indicator_for_temp,air_temperature,wbt_indicator,wetbulb_temperature,dpt_indicator,dewpoint_temperature,sst_measurement_method,sea_surface_temp,total_cloud_amount,lower_cloud_amount,low_cloud_type,cloud_height_indicator,cloud_height,middle_cloud_type,high_cloud_type,wave_direction,wave_period,wave_height,swell_direction,swell_period,swell_height,box_system_indicator,ten_degree_box_number,one_degree_box_number,deck,source_id,platform_type,dup_status,dup_check,track_check,pressure_bias,wave_period_indicator,swell_period_indicator,second_country_code,adaptive_qc_flags,nightday_flag,trimming_flags,ncdc_qc_flags,external,landlocked_flag,source_exclusion_flags,unique_report_id,release_no_primary,release_no_secondary,release_no_tertiary,release_status_indicator,intermediate_reject_flag,timestamp
2017,6,22,4,"5,8","85,7",1,4,0,0,2,4,,1,CQCZ,,0,220,4,"9,3",,98,3,1,"1012,9",1,"0,9",0,"29,2",0,"24,3",,"22,4",3,30,5,4,2,,5,6,2,,5,"1,5",20,10,2,,294,55,992,114,5,1,2,,,,,,,2,111112,11111111111111,,,,NO7JNC,3,0,1,0,1,22/06/2017 4:00:00
2017,7,27,18,"42,6","-56,4",1,4,0,0,6,4,,1,CQCZ,,0,60,4,"7,2",,98,3,2,"1018,2",7,"0,8",0,"22,4",0,"18,8",,"16,5",3,22,8,5,7,,2,7,0,,5,1,9,8,"1,5",,172,26,992,114,5,1,2,,,,,,,2,111111,11111111111111,,,,NSS6KW,3,0,1,0,1,27/07/2017 18:00:00
2017,3,18,7,"34,4",-8,1,4,0,0,1,3,1,1,CQEU,,0,330,4,"6,2",,96,10,1,"1015,1",5,"0,1",0,"17,6",0,"15,2",,"13,7",3,18,4,4,6,,A,A,A,,4,1,2,5,2,,213,48,992,114,5,1,2,,,,,,,2,111111,11111111111111,,,,NBXFIE,3,0,1,0,1,18/03/2017 7:00:00
2017,8,1,12,"-11,9","-35,7",1,4,0,0,4,4,1,1,CQEU,,0,120,4,"11,3",,98,3,2,"1019,5",1,"1,8",0,"24,9",0,"20,5",,18,1,26,5,3,4,,6,9,4,,5,1,12,9,2,,390,15,992,114,5,1,2,,,,,,,2,111111,11111111111111,,,,NTE3FK,3,0,1,0,1,1/08/2017 12:00:00
2017,5,8,6,"-30,7",-50,1,4,0,0,5,3,1,1,CQEV,,0,50,4,"11,3",,98,2,0,"1014,2",7,"2,2",0,"20,8",0,"19,5",,"18,9",3,20,1,,,,A,,,,6,2,14,10,2,,460,0,992,114,5,1,2,,,,,,,1,111111,11111111111111,,,,NIEU46,3,0,1,0,1,8/05/2017 6:00:00
2017,6,4,13,"-10,7","66,1",1,4,0,0,5,3,,1,CQFA,,0,140,4,"7,2",,97,2,0,1012,6,"0,5",0,29,0,"28,1",,"27,8",3,28,4,4,4,,5,0,0,,3,"0,5",14,10,2,,364,6,992,114,5,1,2,,,,,,,2,131111,11111111111111,,,,NLX2C3,3,0,1,0,1,4/06/2017 13:00:00
2017,6,10,12,"-34,2","-102,5",1,4,0,0,6,4,,1,CQFC,,0,360,3,"7,7",,98,2,8,"1022,7",7,3,0,18,0,17,,"16,4",3,16,6,3,8,,5,6,A,,7,1,23,10,2,,455,42,992,114,5,1,2,,,,,,,1,111111,11111111111111,,,,NMP102,3,0,1,0,1,10/06/2017 12:00:00
2017,5,6,6,"38,7","135,6",1,4,0,0,1,4,,1,CQFC,,0,260,3,"6,2",,97,2,2,"1010,3",8,"1,7",0,"15,5",0,10,,"4,8",3,12,8,,6,,2,A,A,,5,"1,5",24,10,"1,5",,191,85,992,114,5,1,2,,,,,,,2,111112,11111111111111,,,,NI5HAC,3,0,1,0,1,6/05/2017 6:00:00
2017,8,28,0,"-12,9","-164,1",1,4,0,0,7,4,,1,CQFC,,0,130,3,"10,8",,99,2,0,1012,7,"2,2",0,29,0,25,,"23,5",3,26,2,,1,,5,0,0,,5,2,16,12,"2,5",,377,24,992,114,5,1,2,,,,,,,2,111111,11111111111111,,,,NWR0U7,3,0,1,0,1,28/08/2017 0:00:00
2017,2,23,0,"-32,1","-73,9",1,4,0,0,6,4,,1,CQFC,,0,210,3,"5,7",,97,3,2,"1012,3",3,"1,4",0,"19,9",0,"18,3",,"17,5",3,17,8,7,6,,2,1,0,,3,1,21,8,1,,458,23,992,114,5,1,2,,,,,,,1,111111,11111111111111,,,,N8ZSW8,3,0,1,0,1,23/02/2017 0:00:00
2017,6,8,6,"-33,3","-81,3",1,4,0,0,6,4,,1,CQFC,,0,200,3,"10,3",,97,3,2,"1031,1",1,"1,6",0,15,0,11,,"7,6",3,15,6,5,5,,5,A,A,,6,2,23,8,"2,5",,457,31,992,114,5,1,2,,,,,,,1,211111,11111111111111,,,,NMEHS4,3,0,1,0,1,8/06/2017 6:00:00
2017,6,17,6,"47,5","-6,9",1,4,0,0,5,4,,1,CQFP,,0,70,4,"4,6",,98,0,0,1028,4,0,0,17,0,15,,"13,7",3,15,2,1,1,,6,A,5,,5,"0,5",8,7,1,,177,76,992,114,5,1,2,,,,,,,2,111111,11111111111111,,,,NNKJSB,3,0,1,0,1,17/06/2017 6:00:00
2017,3,24,13,"43,2","-38,3",1,4,0,0,2,3,1,1,CQGH,,0,210,4,"11,3",,98,60,2,"1017,9",0,"0,9",0,"19,6",0,"18,5",,"17,9",3,"15,4",7,,,,6,,,,8,"4,5",22,12,3,,174,38,992,114,5,1,2,,,,,,,2,111111,11111111111111,,,,NCPSOH,3,0,1,0,1,24/03/2017 13:00:00
2017,2,1,18,"26,1","-54,8",1,4,0,0,1,4,,1,CQGH,,0,90,4,"7,7",,97,3,0,"1023,6",6,2,0,,0,28,,"27,8",3,"25,3",2,,,,A,,,,8,2,29,10,3,,244,64,992,114,5,1,2,,,,,,,2,171111,11111111111111,,,,N6BQPP,3,0,1,0,1,1/02/2017 18:00:00
