wind_direction_true,wind_speed,wave_height,swell_direction,swell_height
70.0,8.2,1.0,9,1.5
130.0,7.7,1.0,8,1.0
70.0,6.7,0.5,7,1.5
30.0,3.6,1.0,1,1.0
280.0,25.7,3.0,27,6.0
140.0,12.3,1.5,21,1.5
230.0,19.5,3.0,38,1.0
230.0,13.4,1.5,28,3.0
300.0,13.9,4.0,33,5.0
260.0,12.9,2.0,21,2.0
80.0,10.3,1.5,10,2.0
350.0,12.3,6.0,30,1.5
260.0,15.4,2.5,25,5.0
160.0,5.1,1.0,26,2.0
210.0,7.7,0.5,9,1.0
200.0,15.4,2.0,3,2.5
40.0,7.7,0.5,9,1.0
130.0,4.1,0.5,5,1.0
350.0,7.7,0.5,1,2.0
110.0,5.1,1.0,13,1.5
350.0,8.2,1.5,27,1.0
220.0,3.6,0.5,28,1.5
110.0,4.1,0.5,12,0.5
230.0,8.2,0.5,12,1.0
120.0,10.8,1.0,27,1.5
320.0,10.3,2.0,31,3.0
120.0,9.8,0.5,2,1.5
120.0,10.3,1.0,25,1.5
130.0,7.2,1.0,33,1.0
174.0,8.0,0.5,27,1.0
130.0,10.8,0.5,6,2.5
20.0,3.6,1.5,3,3.0
350.0,15.4,1.0,34,3.0
260.0,5.1,1.0,20,2.5
290.0,5.1,2.0,27,3.0
300.0,12.9,3.0,30,4.0
320.0,3.1,0.5,18,1.5
30.0,4.6,0.5,4,0.5
320.0,2.6,0.0,35,2.0
360.0,9.8,1.5,2,2.5
120.0,12.9,2.5,30,3.5
250.0,5.7,0.5,28,1.5
310.0,2.1,0.0,27,0.5
120.0,2.6,0.0,9,0.5
240.0,4.1,0.0,26,0.5
140.0,3.6,0.5,7,1.0
140.0,2.6,0.5,38,1.5
60.0,2.6,0.5,32,1.0
140.0,4.6,0.5,29,1.5
90.0,3.1,0.5,4,0.5
340.0,5.7,0.5,28,1.5
40.0,7.2,0.5,7,1.0
340.0,7.2,3.0,32,3.0
270.0,9.3,2.5,27,3.0
120.0,3.1,1.5,34,2.0
200.0,5.1,0.5,22,1.0
340.0,5.1,0.5,4,1.5
90.0,3.6,1.0,36,1.5
330.0,7.7,0.5,32,1.5
100.0,8.2,1.0,16,2.0
70.0,8.7,0.5,7,1.5
360.0,6.2,0.5,34,1.5
240.0,5.1,0.5,34,3.5
260.0,15.4,2.5,27,5.0
120.0,7.2,1.0,25,2.0
50.0,4.1,0.5,14,0.5
170.0,7.2,0.5,14,1.0
230.0,6.2,0.5,3,2.0
200.0,5.1,0.5,32,0.5
240.0,9.3,1.5,15,1.5
100.0,7.7,1.0,28,1.5
90.0,15.4,1.0,16,2.5
180.0,1.0,0.0,20,1.5
350.0,5.1,0.5,10,1.5
70.0,10.3,0.5,1,1.5
280.0,5.7,0.5,18,2.5
220.0,9.8,0.5,35,1.0
360.0,4.1,1.0,31,3.0
360.0,6.2,0.5,10,1.5
190.0,5.1,0.5,20,1.0
140.0,7.7,0.5,29,0.5
340.0,12.3,3.0,33,2.0
220.0,14.4,2.5,31,3.5
200.0,12.3,2.5,30,2.0
240.0,6.2,0.5,38,1.0
30.0,2.1,0.0,11,0.5
280.0,2.6,0.5,18,0.5
100.0,10.8,1.5,10,1.5
160.0,14.4,1.5,18,1.5
280.0,15.4,1.5,24,2.0
10.0,3.6,0.0,0,0.0
130.0,4.1,0.5,9,1.0
80.0,10.3,1.0,10,1.5
130.0,11.3,3.5,18,3.0
200.0,3.6,0.5,18,1.0
320.0,8.7,1.0,17,1.0
100.0,9.3,2.5,12,2.0
80.0,6.7,1.5,22,2.5
120.0,9.3,3.5,23,3.0
110.0,9.3,2.0,18,3.5
250.0,2.6,0.5,1,2.5
